,Valor,Efetuado,Fixo,Data,Categoria,Descrição
0,359.56,1,0,2025-03-01,Saldo Anterior,Saldo Inicial
1,80.0,1,0,2025-03-15,Carona,Aguiar
2,80.0,1,0,2025-03-16,Carona,César
3,140.0,1,0,2025-03-05,Resgate Caixinha,Resgate RDB
4,34.0,1,0,2025-03-09,Extras,"Salgado Fonseca, Freitas"
5,1318.08,1,0,2025-03-05,Salário,Soldo
6,3387.0,1,0,2025-03-01,Investimentos,Dólares
7,1072.36,1,0,2025-03-01,Investimentos,Caixinhas
8,1313.98,1,0,2025-04-01,Salário,Soldo
9,120.0,1,0,2025-04-04,Carona,Caronas
10,5.35,1,0,2025-04-12,Extras,Reembolso uber chama o pai
11,75.0,1,0,2025-04-13,Carona,Caronas Sanca
12,70.0,1,0,2025-04-17,Extras,Carnadoze
13,69.4,1,0,2025-04-24,Extras,Bolachas BMB
14,200.0,1,0,2025-04-22,Carona,Caronas
